userId,passwordScheme,success
bgax0ijdd,Face,1
bgax0ijdd,Face,0
bgax0ijdd,Face,0
bgax0ijdd,Face,0
bgax0ijdd,Face,0
bgax0ijdd,Face,0
bgax0ijdd,Face,0
bgax0ijdd,Face,0
hlfv5l60r,Face,0
hlfv5l60r,Face,0
hlfv5l60r,Face,0
hw6azeay1,Face,1
hw6azeay1,Face,1
hw6azeay1,Face,1
hw6azeay1,Face,0
hw6azeay1,Face,0
kbb30zm9l,Face,1
kbb30zm9l,Face,1
kbb30zm9l,Face,1
kbb30zm9l,Face,0
14j5op2bg,Face,1
14j5op2bg,Face,0
14j5op2bg,Face,0
14j5op2bg,Face,0
14j5op2bg,Face,0
14j5op2bg,Face,0
l6uj4psc5,Face,1
l6uj4psc5,Face,1
l6uj4psc5,Face,1
l6uj4psc5,Face,0
yhqewg0gd,Face,1
yhqewg0gd,Face,1
yhqewg0gd,Face,0
yhqewg0gd,Face,0
yhqewg0gd,Face,0
yhqewg0gd,Face,0
yhqewg0gd,Face,0
b86bf3e3g,Face,1
b86bf3e3g,Face,1
b86bf3e3g,Face,0
b86bf3e3g,Face,0
b86bf3e3g,Face,0
flt6vhl81,Face,1
flt6vhl81,Face,0
flt6vhl81,Face,0
flt6vhl81,Face,0
flt6vhl81,Face,0
flt6vhl81,Face,0
flt6vhl81,Face,0
u8fcue4uf,Face,1
u8fcue4uf,Face,1
u8fcue4uf,Face,0
u8fcue4uf,Face,0
u8fcue4uf,Face,0
qxjc8u77r,Face,1
qxjc8u77r,Face,1
qxjc8u77r,Face,1
iwe0vg7si,Face,1
a1bsb2lpb,Face,1
a1bsb2lpb,Face,0
a1bsb2lpb,Face,0
a1bsb2lpb,Face,0
a1bsb2lpb,Face,0
a1bsb2lpb,Face,0
a1bsb2lpb,Face,0
a1bsb2lpb,Face,0
a1bsb2lpb,Face,0
togmdypyg,Face,1
togmdypyg,Face,1
togmdypyg,Face,1
